,ACG.L,ACG.R,AMYG.L,AMYG.R,ANG.L,ANG.R,CAU.L,CAU.R,CUN.L,CUN.R,FFG.L,FFG.R,HIP.L,HIP.R,IFGoperc.L,IFGoperc.R,IFGtriang.L,IFGtriang.R,INS.L,INS.R,IPL.L,IPL.R,MTG.L,MTG.R,ORBinf.L,ORBinf.R,ORBmid.L,ORBmid.R,ORBsup.L,ORBsup.R,ORBsupmed.L,ORBsupmed.R,PCG.L,PCG.R,PCUN.L,PCUN.R,PUT.L,PUT.R,ROL.L,ROL.R,SFGdor.L,SFGdor.R,SFGmed.L,SFGmed.R,SPG.L,SPG.R,STG.L,STG.R,THA.L,THA.R,class
11,-0.20826274109974582,-0.13322914475716546,0.04442390024045443,-0.052748367358236375,-0.069792897424038,0.10882509482101212,0.21097402286809963,0.1847824050653387,0.1913693461685008,0.2036648026861525,0.2412252981499687,0.2028143648461396,0.1185717533897523,0.1032018529803307,0.17796458263802897,0.12862454896552836,0.2018734783553142,0.15880261834176704,-0.07181439521533213,-0.07343042344326436,0.11303342690637187,0.17553919553252195,0.10850173366023308,0.12225006906494566,0.0016837355913822104,-0.06199194052625115,-0.09898851355397688,-0.09407166590685241,0.03315382512866189,0.07219577672319494,-0.16149183230637762,-0.08278806946968477,-0.04923862248656571,0.07469610056354979,0.17954085204962308,0.22124518954779718,0.020281905362983715,0.02890253738552685,-0.07542582800107775,-0.087251642534432,-0.04108403201631676,0.05081899663090064,-0.13933078390909454,-0.1123828442995528,0.39207525449473457,0.44296961931345763,0.011954362967701323,-0.0372893410336203,0.14905769690745527,0.09557651786414272,-1.0
12,0.06110234189207294,0.02561816399765361,0.014085695170281243,0.09389454283695142,-0.03033523040849916,-0.00877775725919371,0.01991083891074853,-0.021897873175463514,-0.26906739364167925,-0.22673659572493476,0.0028487544532055467,-0.025896594857987423,0.08247748800523437,0.03203310999349824,-0.015651025576761003,-0.06447439435886927,-0.032610081212085675,-0.056858968517821996,-0.05846282751448409,-0.11006383898223704,-0.11654785873745645,-0.0770473037330726,0.003271319057021609,0.0604662732668221,0.010765614844666269,-0.017013791861176127,-0.07805862754605505,-0.10356560365382354,-0.04055646953998796,-0.05435596665805026,0.034391824405110204,0.00039868409141849875,-0.04210195481922684,0.007036434717341315,-0.12687264283348174,-0.08389110954910607,0.0003062081798886664,0.00874960488594304,-0.1330619471664767,-0.13506743572649432,-0.03456128997647817,-0.05104827373780557,0.015644562275014425,0.0010406046688944195,-0.09605778005016263,-0.03217027155794795,-0.05348236344179718,-0.06691566276730367,-0.010506648407173963,-0.07326592672450898,-1.0
13,-0.15250506420131146,-0.1309537872729956,0.10954991176913266,0.03818402205262452,0.004058685205186687,-0.07092905116052672,0.06200250082780042,0.057082392606131106,0.12574961324035486,0.15481839649976983,0.10418735313606792,0.08492493725856644,0.006121993564667236,0.04032370586391199,0.13600033682916557,0.14543701235215403,0.20683464696903123,0.055750749424751715,-0.06747159544183731,0.029304599299416267,0.13190511115157025,-0.06434434319051129,0.13006249324689662,0.0005336098596143979,0.06946422117973644,-0.1354483560250191,0.062042231744441866,-0.04047418375001807,0.037995864322956784,0.005594968736276184,-0.1122610462572222,-0.19842732695049836,0.09333775914641107,0.06587185680634391,0.1853477385147577,0.12342453493131351,0.01504816619966263,0.040318408590139944,-0.12982142094365476,-0.1354631154994842,0.06430273094966042,-0.03649499376812652,0.0014776156836452947,-0.11904796164934943,0.3665235538177598,0.3438550939369885,0.03603374956036243,0.02388012645054761,0.21309965969798497,0.13842709070172654,-1.0
14,-0.1729900870919853,-0.1532800605299852,-0.21253761497387094,-0.27581451982136435,-0.21683759592298635,-0.10604631169253435,-0.07436844300139862,-0.09730629108534783,-0.12479069343434261,-0.08669045441675195,-0.14901378191130366,-0.07417174215690002,-0.12374658213721301,-0.09030336067429633,-0.014043100495175662,-0.027195206131806423,-0.03247445138491319,-0.1019271348663296,-0.1027835766201825,-0.1393225843410297,-0.1487892009445039,-0.030279800004517826,-0.10349015916062927,-0.10107264288844986,-0.2666927091103188,-0.21090166539055963,-0.30102850800507813,-0.19743406012716713,-0.15824962334197828,-0.23088281818583553,-0.267857493911779,-0.21485176810934428,-0.16339109032082533,-0.10005448048534687,-0.15931134437159913,-0.10933414755956815,-0.08859332859631885,-0.09997464433257645,-0.24317609852252106,-0.20960871259787686,-0.13254286241788457,-0.1484148260419231,-0.22692264577936946,-0.14037109574183987,-0.08201809282917333,-0.03226170140576049,-0.07280564591226073,-0.0821190062715181,-0.02695908362488682,-0.04703182791729633,-1.0
15,0.014153459543007561,0.01379452624362521,-0.1710949509892139,-0.10955995790327011,-0.03437697901119304,-0.023378562477552035,0.009192929505535677,0.02582805513788426,0.02685815320354028,0.0530477772549476,0.08885337166723044,0.10263181346878246,0.04585653994784753,0.012462707194577899,0.000991708590791944,-0.036725246981622724,0.10992561211225833,0.05341244252399549,-0.01663950829384247,-0.0728909006213936,0.0714797717865797,0.011976634880280798,0.053804840681332476,0.05015095934825752,0.004887469068527209,-0.003521033847309661,0.05303821024627442,-0.01734435821081906,0.023463441859167638,0.039275338473914685,0.09855859859744114,0.09047584323908194,0.08393990165576476,0.05818924214789794,0.05269935587364282,0.06663243500044286,-0.09485881967473514,-0.06418625402911164,-0.22688069543184283,-0.2801409425084768,0.025895938567860044,0.0048516581035533855,-0.055524128763723035,-0.03427588948671623,0.11313351057384995,0.34735592813414856,-0.08078175722271701,0.0016742084889612107,-0.007586910994369394,-0.015297151550068298,-1.0
16,-0.35148395510909625,-0.22475900894062031,-0.2073192705403273,-0.1297612024391604,-0.11761997986235066,-0.07402716735106478,0.06745459341261455,0.05250919976671775,-0.2955994312678375,-0.2546459822994146,0.03999349003455775,0.15633644689833834,-0.1542012789198341,-0.08346909324280037,0.19924027527823487,0.03558441938475713,0.014657817245148383,-0.06486007900115498,-0.012140798423608698,-0.11638941946927865,0.04105334857682522,0.019368091719315424,-0.017836212889993316,-0.0877404355198435,-0.04766536776917076,-0.20087556280300475,0.003671080910909131,-0.07634981313531719,0.02681446692271558,-0.26347406077937774,-0.16631062921714132,-0.2115987101915646,-0.20083586744434875,-0.1296943524487957,-0.14052039503141556,-0.10560024184201267,-0.030794692412401816,-0.05965205859912006,-0.15117068963422822,-0.32343426748674564,-0.10845265820124517,-0.09996685848642343,-0.23020581246542415,-0.2061238639997398,0.07540577689122055,0.10105901623104917,-0.18967447657651584,-0.12018126646414502,-0.002595604648587038,0.002665818980244593,-1.0
17,-0.003485374934576716,-0.021912106501555815,0.028601551878128687,0.04783258549024446,-0.05615070233677005,0.02454923494010954,0.04241808097590185,0.10635563236608325,-0.07504997223467728,-0.0611991490924268,0.09022159712834625,-0.020718891905620977,-0.04619148228351253,0.019073036733589482,0.07808052700022546,-0.0032328786048994077,0.06103000518792775,-0.03739607967600431,-0.06077988155041251,-0.08713820180519773,0.0030365596036231748,-0.042958354068055045,0.04258732984119986,0.0600128816686979,0.09193189857401378,0.04408013519445258,0.1428779446297632,0.09593191701401105,0.16808485477696897,0.08533463418761357,0.10157332924223784,0.032102223593252606,0.21130954622301334,0.1768095106324755,0.0047412685567408,0.028745128228164548,0.08551620862108793,0.03854884960528406,-0.06572161910923444,-0.06531879763604766,0.018612638764958264,0.020841128741029186,-0.006908776696213978,-0.008807991242933714,0.023732869753385778,0.10159351016008904,0.05236337691638704,-0.005898073542561055,0.002762315106049504,0.04477333104878461,-1.0
18,-0.1519725700277013,-0.05646582696386391,-0.07121435640849143,-0.05688030831745977,-0.054803790386239774,-0.06137519894833465,0.08587671386492342,0.10639466078370485,-0.18680496620443685,-0.06901895211560499,0.09526722696949118,0.10267069506316535,-0.01491354726793608,-0.02512257308218753,0.09433750103298162,0.09905803829007565,0.13971119482195846,0.10869404791922964,-0.0025086654061626675,0.014814833732036825,0.0558976619224893,0.07316873605984792,0.04142491128383407,-0.02534302618237459,-0.021806411401708067,-0.02949926045859132,-0.019047245968319762,-0.10283493867419073,-0.09710318186571158,0.05612772733278679,-0.24675591465681587,-0.0537098051522939,0.048345263539971504,0.07412408693942917,0.0457242545386593,0.10526687980757458,0.09014628198916792,0.06348343985924926,-0.06157615180818401,-0.15534744269429038,0.0013206796812785312,0.011086591524977596,-0.03880783864079525,-0.021842518827955574,0.12212087472883866,0.12915875312749547,-0.0045261659999393375,-0.005370731052948756,0.15220514546131944,0.09671784200897719,-1.0
19,-0.06952540976696898,0.00032458620638962005,0.017676997400426313,-0.05227742328687641,0.18361902106297323,0.07998247438918558,0.17501219292542203,0.14011130044476006,0.05650232740006761,0.08012686864660079,0.20360561056520687,0.22224460229011314,-0.05914502686263463,-0.0031044321191089374,0.30883206146834324,0.07308435665590197,0.13018443337122917,0.004811888450140349,0.03473108814030223,0.01338273945811233,0.16580303953590228,0.08511872268825206,0.1304782137724156,0.06784098530468156,0.14266577873657507,0.166071695158279,0.1221627163847327,0.15578467729992715,0.12596154876501228,0.10086499289122752,0.07926109820903889,0.020421788342222524,0.06521408028981586,0.11216769342200465,0.10950107662554238,0.11791217033658764,-0.0149294811491718,-0.0006084027330175041,-0.21152733073537724,-0.14030344596525615,0.08931509770414249,0.006250354151993554,0.02077575928353086,-0.019272919673899876,0.10118571979899754,0.16268804390870567,-0.10761076932431707,0.0007954590444989584,0.12945600371835345,0.10289109766338535,-1.0
20,0.01914965412161544,0.02665092538762781,0.09554549506736021,0.1910628280736367,-0.07983826132130288,-0.08145147740743759,0.14267549303155222,0.1836773871356151,0.05734271554961532,0.066983592895378,0.10158265437280321,0.09641461849686196,-0.0518670213764405,0.040630396103882145,0.17086278775527428,0.07280615785024268,0.08560771404511071,0.06143772300696213,0.07726234255802442,0.005972007340809278,-0.03430331581728705,0.0029843046608530647,0.05704006126519945,0.09007709512656048,0.022188466077709485,0.010850628785962635,0.0010820282559430839,-0.0004984717583812331,0.04142335072875211,-0.013023496068481145,0.11344163245940585,0.10732625434916586,-0.03684466086255445,0.0752147733097757,0.029816264057697443,0.08825094274785257,-0.046568818495642705,0.049162200384781925,-0.07972087497714841,-0.04438016948224075,-0.028123849659248357,0.01977844004398342,0.026727105065825475,0.059934130032950096,0.09896003628905149,0.13018322888094916,0.017470144756825734,0.0659937640664529,0.06453621438684241,0.07651850233826397,-1.0
